AY/A,Ast,Att,Att.1,Cmp,Cmp%,Comb,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,Off%,OffSnp,Opp,QBHits,Rate,Rec,Result,Rk,ST%,STSnp,Sfty,Sk,Sk.1,Solo,TD,TD.1,TD.2,TFL,Team,Tgt,Unnamed: 6,Week,Y/A,Y/A.1,Y/R,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,player_id,season,source_file,injured
,,,,,,,,2022-10-06,,,,,,,,Inactive,,5.0,,,,DEN,,,,"W, 12-9 (OT)",4.0,,,,,,,,,,,IND,,@,5.0,,,,,,,,,,tayljo02,2022,tayljo02_2022_gamelog.csv,True
,,,,,,,,2022-10-16,,,,,,,,Inactive,,6.0,,,,JAX,,,,"W, 34-27",4.0,,,,,,,,,,,IND,,,6.0,,,,,,,,,,tayljo02,2022,tayljo02_2022_gamelog.csv,True
,,10.0,,,,,87.5,2022-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,37.0,7.0,,54.7,35.0,TEN,,,7.0,"L, 10-19",5.0,0.0,0.0,,,,,0.0,0.0,,,IND,8.0,@,7.0,5.8,,3.9,3.4,58.0,27.0,0.0,,,tayljo02,2022,tayljo02_2022_gamelog.csv,False
,,16.0,,,,,0.0,2022-10-30,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,38.0,8.0,,69.0,40.0,WAS,,,0.0,"L, 16-17",6.0,0.0,0.0,,,,,0.0,0.0,,,IND,1.0,,8.0,4.8,,,0.0,76.0,0.0,0.0,,,tayljo02,2022,tayljo02_2022_gamelog.csv,False
,,,,,,,,2022-11-06,,,,,,,,Inactive,,9.0,,,,NWE,,,,"L, 3-26",6.0,,,,,,,,,,,IND,,@,9.0,,,,,,,,,,tayljo02,2022,tayljo02_2022_gamelog.csv,True
,,22.0,,,,,100.0,2022-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,39.0,10.0,,93.8,61.0,LVR,,,2.0,"W, 25-20",7.0,0.0,0.0,,,,,1.0,0.0,,,IND,2.0,@,10.0,6.7,,8.0,8.0,147.0,16.0,0.0,,,tayljo02,2022,tayljo02_2022_gamelog.csv,False
,,22.0,,,,,75.0,2022-11-20,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,40.0,11.0,,75.4,49.0,PHI,,,3.0,"L, 16-17",8.0,0.0,0.0,,,,,1.0,0.0,,,IND,4.0,,11.0,3.8,,3.3,2.5,84.0,10.0,0.0,,,tayljo02,2022,tayljo02_2022_gamelog.csv,False
,,20.0,,,,,75.0,2022-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,41.0,12.0,,92.2,59.0,PIT,,,3.0,"L, 17-24",9.0,0.0,0.0,,,,,1.0,0.0,,,IND,4.0,,12.0,4.3,,4.0,3.0,86.0,12.0,0.0,,,tayljo02,2022,tayljo02_2022_gamelog.csv,False
,,21.0,,,,,75.0,2022-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,42.0,13.0,,81.9,59.0,DAL,,,3.0,"L, 19-54",10.0,0.0,0.0,,,,,0.0,0.0,,,IND,4.0,@,13.0,3.9,,7.0,5.3,82.0,21.0,0.0,,,tayljo02,2022,tayljo02_2022_gamelog.csv,False
,,0.0,,,,,100.0,2022-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,43.0,14.0,,2.5,2.0,MIN,,,1.0,"L, 36-39 (OT)",11.0,0.0,0.0,,,,,0.0,0.0,,,IND,1.0,@,15.0,,,13.0,13.0,0.0,13.0,0.0,,,tayljo02,2022,tayljo02_2022_gamelog.csv,False
,,,,,,,,2022-12-26,,,,,,,,Did Not Play,,15.0,,,,LAC,,,,"L, 3-20",11.0,,,,,,,,,,,IND,,,16.0,,,,,,,,,,tayljo02,2022,tayljo02_2022_gamelog.csv,True
,,,,,,,,2023-01-01,,,,,,,,Did Not Play,,16.0,,,,NYG,,,,"L, 10-38",11.0,,,,,,,,,,,IND,,@,17.0,,,,,,,,,,tayljo02,2022,tayljo02_2022_gamelog.csv,True
,,,,,,,,2023-01-08,,,,,,,,Did Not Play,,17.0,,,,HOU,,,,"L, 31-32",11.0,,,,,,,,,,,IND,,,18.0,,,,,,,,,,tayljo02,2022,tayljo02_2022_gamelog.csv,True
,,22.0,,,,,100.0,2022-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,59.0,1.0,,52.5,42.0,CAR,,,1.0,"W, 26-24",1.0,0.0,0.0,,,,,0.0,0.0,,,CLE,1.0,@,1.0,6.4,,2.0,2.0,141.0,2.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,17.0,,,,,100.0,2022-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,60.0,2.0,,53.7,36.0,NYJ,,,3.0,"L, 30-31",2.0,0.0,0.0,,,,,3.0,0.0,,,CLE,3.0,,2.0,5.1,,8.7,8.7,87.0,26.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,23.0,,,,,0.0,2022-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,61.0,3.0,,62.5,45.0,PIT,,,0.0,"W, 29-17",3.0,0.0,0.0,,,,,1.0,0.0,,,CLE,1.0,,3.0,4.9,,,0.0,113.0,0.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,19.0,,,,,66.7,2022-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,62.0,4.0,,54.8,40.0,ATL,,,2.0,"L, 20-23",4.0,0.0,0.0,,,,,1.0,0.0,,,CLE,3.0,@,4.0,6.2,,4.5,3.0,118.0,9.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,17.0,,,,,0.0,2022-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,63.0,5.0,,52.2,35.0,LAC,,,0.0,"L, 28-30",5.0,0.0,0.0,,,,,2.0,0.0,,,CLE,1.0,,5.0,7.9,,,0.0,134.0,0.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,12.0,,,,,50.0,2022-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,64.0,6.0,,44.3,31.0,NWE,,,1.0,"L, 15-38",6.0,0.0,0.0,,,,,0.0,0.0,,,CLE,2.0,,6.0,4.7,,14.0,7.0,56.0,14.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,16.0,,,,,66.7,2022-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,65.0,7.0,,56.7,34.0,BAL,,,2.0,"L, 20-23",7.0,0.0,0.0,,,,,1.0,0.0,,,CLE,3.0,@,7.0,5.7,,8.0,5.3,91.0,16.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,23.0,,,,,100.0,2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,66.0,8.0,,51.4,37.0,CIN,,,1.0,"W, 32-13",8.0,0.0,0.0,,,,,2.0,0.0,,,CLE,1.0,,8.0,4.4,,3.0,3.0,101.0,3.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,11.0,,,,,75.0,2022-11-13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,67.0,9.0,,47.8,32.0,MIA,,,3.0,"L, 17-39",9.0,0.0,0.0,,,,,1.0,0.0,,,CLE,4.0,@,10.0,5.7,,6.0,4.5,63.0,18.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,14.0,,,,,100.0,2022-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,68.0,10.0,,54.7,41.0,BUF,,,3.0,"L, 23-31",10.0,0.0,0.0,,,,,0.0,0.0,,,CLE,3.0,@,11.0,1.4,,16.0,16.0,19.0,48.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,26.0,,,,,100.0,2022-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,69.0,11.0,,59.5,47.0,TAM,,,1.0,"W, 23-17 (OT)",11.0,0.0,0.0,,,,,1.0,0.0,,,CLE,1.0,,12.0,4.5,,16.0,16.0,116.0,16.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,17.0,,,,,0.0,2022-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,70.0,12.0,,50.8,32.0,HOU,,,0.0,"W, 27-14",12.0,0.0,0.0,,,,,0.0,0.0,,,CLE,1.0,@,13.0,4.7,,,0.0,80.0,0.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,14.0,,,,,100.0,2022-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,71.0,13.0,,62.5,45.0,CIN,,,3.0,"L, 10-23",13.0,0.0,0.0,,,,,0.0,0.0,,,CLE,3.0,@,14.0,2.4,,6.7,6.7,34.0,20.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,21.0,,,,,0.0,2022-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,72.0,14.0,,69.7,46.0,BAL,,,0.0,"W, 13-3",14.0,0.0,0.0,,,,,0.0,0.0,,,CLE,2.0,,15.0,4.7,,,0.0,99.0,0.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,24.0,,,,,100.0,2022-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,73.0,15.0,,52.9,37.0,NOR,,,1.0,"L, 10-17",15.0,0.0,0.0,,,,,0.0,0.0,,,CLE,1.0,,16.0,3.8,,10.0,10.0,92.0,10.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
,,14.0,,,,,100.0,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,74.0,16.0,,56.1,32.0,WAS,,,1.0,"W, 24-10",16.0,0.0,0.0,,,,,0.0,0.0,,,CLE,1.0,@,17.0,7.4,,12.0,12.0,104.0,12.0,0.0,,,chubni00,2022,chubni00_2022_gamelog.csv,False
