player,player_id,pfr_url,season,first_name,name_length,name_rank
D'Ernest Johnson,J,https://www.pro-football-reference.com/players/J/JohnDE04.htm,2024,D'Ernest,16,5.0
Cordarrelle Patterson,P,https://www.pro-football-reference.com/players/P/PattCo00.htm,2024,Cordarrelle,21,1.0
Craig Reynolds,R,https://www.pro-football-reference.com/players/R/ReynCr00.htm,2024,Craig,14,7.0
Dare Ogunbowale,O,https://www.pro-football-reference.com/players/O/OgunDa00.htm,2024,Dare,15,6.0
Jamycal Hasty,H,https://www.pro-football-reference.com/players/H/HastJa02.htm,2024,Jamycal,13,8.0
Samaje Perine,P,https://www.pro-football-reference.com/players/P/PeriSa00.htm,2024,Samaje,13,8.0
Jeff Wilson,W,https://www.pro-football-reference.com/players/W/WilsJe01.htm,2024,Jeff,11,10.0
Clyde Edwards-Helaire,E,https://www.pro-football-reference.com/players/E/EdwaCl00.htm,2024,Clyde,21,1.0
Alec Ingold,I,https://www.pro-football-reference.com/players/I/IngoAl01.htm,2024,Alec,11,10.0
DeeJay Dallas,D,https://www.pro-football-reference.com/players/D/DallDe00.htm,2024,DeeJay,13,8.0
Dalvin Cook,C,https://www.pro-football-reference.com/players/C/CookDa01.htm,2024,Dalvin,11,10.0
Michael Burton,B,https://www.pro-football-reference.com/players/B/BurtMi00.htm,2024,Michael,14,7.0
Travis Homer,H,https://www.pro-football-reference.com/players/H/HomeTr00.htm,2024,Travis,12,9.0
Kyle Juszczyk,J,https://www.pro-football-reference.com/players/J/JuszKy00.htm,2024,Kyle,13,8.0
Jonathan Ward,W,https://www.pro-football-reference.com/players/W/WardJo00.htm,2024,Jonathan,13,8.0
Tony Jones,J,https://www.pro-football-reference.com/players/J/JoneTo04.htm,2024,Tony,10,11.0
Darrynton Evans,E,https://www.pro-football-reference.com/players/E/EvanDa02.htm,2024,Darrynton,15,6.0
Reggie Gilliam,G,https://www.pro-football-reference.com/players/G/GillRe00.htm,2024,Reggie,14,7.0
C.J. Ham,H,https://www.pro-football-reference.com/players/H/HamxC.00.htm,2024,C.J.,8,13.0
Ke'Shawn Vaughn,V,https://www.pro-football-reference.com/players/V/VaugKe00.htm,2024,Ke'Shawn,15,6.0
Joshua Kelley,K,https://www.pro-football-reference.com/players/K/KellJo01.htm,2024,Joshua,13,8.0
Adam Prentice,P,https://www.pro-football-reference.com/players/P/PrenAd00.htm,2024,Adam,13,8.0
Patrick Ricard,R,https://www.pro-football-reference.com/players/R/RicaPa00.htm,2024,Patrick,14,7.0
