AY/A,Att,Att.1,Cmp,Cmp%,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,KRTD,Off%,OffSnp,Opp,PRTD,Rate,Rec,Result,Ret,Ret.1,Rk,ST%,STSnp,Sk,TD,TD.1,TD.2,Team,Tgt,Unnamed: 6,Week,Y/A,Y/A.1,Y/R,Y/Ret,Y/Ret.1,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,col_6,injured,player_id,season,source_file,touches_prev,touches_prev_2,touches_prev_3,career_touches_prior,prior_multiweek_prev,age
,14.0,0.0,0.0,,100.0,2024-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,83.0,9.0,0.0,,51.5,35.0,DAL,,,1.0,"W, 34-6",,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,1.0,,10.0,4.7,,12.0,,,12.0,66.0,12.0,0.0,0.0,0.0,@,False,barksa00,2024,barksa00_2024_gamelog.csv,27.0,22.0,17.0,404.0,0.0,29
,26.0,0.0,0.0,,66.7,2024-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,84.0,10.0,0.0,,81.7,58.0,WAS,,,2.0,"W, 26-18",,,10.0,0.0,0.0,0.0,2.0,0.0,0.0,PHI,3.0,,11.0,5.6,,26.0,,,17.3,146.0,52.0,0.0,0.0,0.0,,False,barksa00,2024,barksa00_2024_gamelog.csv,14.0,27.0,22.0,418.0,0.0,29
,26.0,0.0,0.0,,100.0,2024-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,85.0,11.0,0.0,,68.5,50.0,LAR,,,4.0,"W, 37-20",,,11.0,0.0,0.0,0.0,2.0,0.0,0.0,PHI,4.0,,12.0,9.8,,11.8,,,11.8,255.0,47.0,0.0,0.0,0.0,@,False,barksa00,2024,barksa00_2024_gamelog.csv,26.0,14.0,27.0,444.0,0.0,29
,23.0,0.0,0.0,,50.0,2024-12-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0,*,86.0,12.0,0.0,,87.5,49.0,BAL,,,2.0,"W, 24-19",,,12.0,0.0,0.0,0.0,1.0,0.0,0.0,PHI,4.0,,13.0,4.7,,5.0,,,2.5,107.0,10.0,0.0,0.0,0.0,@,False,barksa00,2024,barksa00_2024_gamelog.csv,26.0,26.0,14.0,470.0,0.0,29
,20.0,0.0,0.0,,0.0,2024-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,87.0,13.0,0.0,,75.9,44.0,CAR,,,0.0,"W, 22-16",,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,1.0,,14.0,6.2,,,,,0.0,124.0,0.0,0.0,0.0,0.0,,False,barksa00,2024,barksa00_2024_gamelog.csv,23.0,26.0,26.0,493.0,0.0,29
,19.0,0.0,0.0,,100.0,2024-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,88.0,14.0,0.0,,61.3,49.0,PIT,,,2.0,"W, 27-13",,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,2.0,,15.0,3.4,,4.5,,,4.5,65.0,9.0,0.0,0.0,0.0,,False,barksa00,2024,barksa00_2024_gamelog.csv,20.0,23.0,26.0,513.0,0.0,29
,29.0,0.0,0.0,,0.0,2024-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,89.0,15.0,0.0,,82.4,61.0,WAS,,,0.0,"L, 33-36",,,15.0,0.0,0.0,1.0,2.0,0.0,0.0,PHI,1.0,,16.0,5.2,,,,,0.0,150.0,0.0,0.0,2.0,0.0,@,False,barksa00,2024,barksa00_2024_gamelog.csv,19.0,20.0,23.0,532.0,0.0,29
,31.0,0.0,0.0,,100.0,2024-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,90.0,16.0,0.0,,75.4,49.0,DAL,,,2.0,"W, 41-7",,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,2.0,,17.0,5.4,,1.0,,,1.0,167.0,2.0,0.0,0.0,0.0,,False,barksa00,2024,barksa00_2024_gamelog.csv,29.0,19.0,20.0,561.0,0.0,29
,,,,,,2025-01-05,,,,,,,,Inactive,,17.0,,,,,NYG,,,,"W, 20-13",,,16.0,,,,,,,PHI,,,18.0,,,,,,,,,,,,,True,barksa00,2024,barksa00_2024_gamelog.csv,31.0,29.0,19.0,592.0,0.0,29
,345.0,0.0,0.0,,76.7,,0.0,0.0,0.0,1.0,2.0,0.0,2.0,,,,0.0,,73.6,801.0,,,,33.0,13-3,,,,0.0,0.0,1.0,13.0,2.0,0.0,,43.0,,,5.8,,8.4,,,6.5,2005.0,278.0,0.0,2.0,0.0,,False,barksa00,2024,barksa00_2024_gamelog.csv,0.0,31.0,29.0,592.0,1.0,29
