player,season,pfr_id,url
Eno Benjamin,2021,BenjEn00,https://www.pro-football-reference.com/players/B/BenjEn00/gamelog/2021/
Malcolm Brown,2021,BrowMa03,https://www.pro-football-reference.com/players/B/BrowMa03/gamelog/2021/
Corey Clement,2021,ClemCo00,https://www.pro-football-reference.com/players/C/ClemCo00/gamelog/2021/
DeeJay Dallas,2021,DallDe00,https://www.pro-football-reference.com/players/D/DallDe00/gamelog/2021/
Joshua Kelley,2021,KellJo01,https://www.pro-football-reference.com/players/K/KellJo01/gamelog/2021/
Wayne Gallman,2021,GallWa00,https://www.pro-football-reference.com/players/G/GallWa00/gamelog/2021/
Marlon Mack,2021,MackMa00,https://www.pro-football-reference.com/players/M/MackMa00/gamelog/2021/
Matt Breida,2021,BreiMa00,https://www.pro-football-reference.com/players/B/BreiMa00/gamelog/2021/
Austin Walter,2021,WaltAu00,https://www.pro-football-reference.com/players/W/WaltAu00/gamelog/2021/
Elijhaa Penny,2021,PennEl00,https://www.pro-football-reference.com/players/P/PennEl00/gamelog/2021/
Patrick Taylor,2021,TaylPa01,https://www.pro-football-reference.com/players/T/TaylPa01/gamelog/2021/
Travis Homer,2021,HomeTr00,https://www.pro-football-reference.com/players/H/HomeTr00/gamelog/2021/
Qadree Ollison,2021,OlliQa00,https://www.pro-football-reference.com/players/O/OlliQa00/gamelog/2021/
J.J. Taylor,2021,TaylJJ01,https://www.pro-football-reference.com/players/T/TaylJJ01/gamelog/2021/
Godwin Igwebuike,2021,IgweGo00,https://www.pro-football-reference.com/players/I/IgweGo00/gamelog/2021/
Chris Evans,2021,EvanCh02,https://www.pro-football-reference.com/players/E/EvanCh02/gamelog/2021/
Jonathan Williams,2021,WillJo07,https://www.pro-football-reference.com/players/W/WillJo07/gamelog/2021/
Jamycal Hasty,2021,HastJa02,https://www.pro-football-reference.com/players/H/HastJa02/gamelog/2021/
Ryquell Armstead,2021,ArmsRy00,https://www.pro-football-reference.com/players/A/ArmsRy00/gamelog/2021/
Jermar Jefferson,2021,JeffJe00,https://www.pro-football-reference.com/players/J/JeffJe00/gamelog/2021/
Trayveon Williams,2021,WillTr06,https://www.pro-football-reference.com/players/W/WillTr06/gamelog/2021/
Jason Huntley,2021,HuntJa01,https://www.pro-football-reference.com/players/H/HuntJa01/gamelog/2021/
Deon Jackson,2021,JackDe02,https://www.pro-football-reference.com/players/J/JackDe02/gamelog/2021/
Kene Nwangwu,2021,NwanKe00,https://www.pro-football-reference.com/players/N/NwanKe00/gamelog/2021/
Kalen Ballage,2021,BallKa00,https://www.pro-football-reference.com/players/B/BallKa00/gamelog/2021/
Jerick McKinnon,2021,McKiJe00,https://www.pro-football-reference.com/players/M/McKiJe00/gamelog/2021/
Kylin Hill,2021,HillKy00,https://www.pro-football-reference.com/players/H/HillKy00/gamelog/2021/
James White,2021,WhitJa02,https://www.pro-football-reference.com/players/W/WhitJa02/gamelog/2021/
Jalen Richard,2021,RichJa01,https://www.pro-football-reference.com/players/R/RichJa01/gamelog/2021/
Keith Smith,2021,SmitKe03,https://www.pro-football-reference.com/players/S/SmitKe03/gamelog/2021/
Jonathan Ward,2021,WardJo00,https://www.pro-football-reference.com/players/W/WardJo00/gamelog/2021/
Giovani Bernard,2021,BernGi00,https://www.pro-football-reference.com/players/B/BernGi00/gamelog/2021/
Michael Burton,2021,BurtMi00,https://www.pro-football-reference.com/players/B/BurtMi00/gamelog/2021/
Kyle Juszczyk,2021,JuszKy00,https://www.pro-football-reference.com/players/J/JuszKy00/gamelog/2021/
La'Mical Perine,2021,PeriLa00,https://www.pro-football-reference.com/players/P/PeriLa00/gamelog/2021/
Scottie Phillips,2021,PhilSc01,https://www.pro-football-reference.com/players/P/PhilSc01/gamelog/2021/
Cam Akers,2021,AkerCa00,https://www.pro-football-reference.com/players/A/AkerCa00/gamelog/2021/
Alex Armah,2021,ArmaAl00,https://www.pro-football-reference.com/players/A/ArmaAl00/gamelog/2021/
Buddy Howell,2021,HoweGr00,https://www.pro-football-reference.com/players/H/HoweGr00/gamelog/2021/
Jaylen Samuels,2021,SamuJa00,https://www.pro-football-reference.com/players/S/SamuJa00/gamelog/2021/
Wendell Smallwood,2021,SmalWe00,https://www.pro-football-reference.com/players/S/SmalWe00/gamelog/2021/
Mekhi Sargent,2021,SargMe00,https://www.pro-football-reference.com/players/S/SargMe00/gamelog/2021/
Mekhi Sargent,2021,SargMe00,https://www.pro-football-reference.com/players/S/SargMe00/gamelog/2021/
Mekhi Sargent,2021,SargMe00,https://www.pro-football-reference.com/players/S/SargMe00/gamelog/2021/
Mekhi Sargent,2021,SargMe00,https://www.pro-football-reference.com/players/S/SargMe00/gamelog/2021/
Kenjon Barner,2021,BarnKe00,https://www.pro-football-reference.com/players/B/BarnKe00/gamelog/2021/
