AY/A,Att,Att.1,Cmp,Cmp%,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,KRTD,Off%,OffSnp,Opp,PRTD,Rate,Rec,Result,Ret,Rk,ST%,STSnp,Sk,TD,TD.1,TD.2,Team,Tgt,Week,Y/A,Y/A.1,Y/R,Y/Ret,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,col_6,player_id,season,source_file,injured
,28.0,,,,40.0,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,34.0,17.0,,,87.3,69.0,CAR,,,2.0,"L, 38-44 (OT)",,17.0,0.0,0.0,,2.0,0.0,,ATL,5.0,18.0,6.1,,1.5,,0.6,170.0,3.0,0.0,,,,robibi01,2024,robibi01_2024_gamelog.csv,False
,304.0,,,,84.7,,0.0,0.0,0.0,0.0,4.0,0.0,1.0,,,,,,75.3,861.0,,,,61.0,8-9,,,0.0,0.0,,14.0,1.0,,,72.0,,4.8,,7.1,,6.0,1456.0,431.0,-21.0,,,,robibi01,2024,robibi01_2024_gamelog.csv,False
,16.0,,,,,2024-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,54.0,1.0,,,95.6,43.0,HOU,,,0.0,"L, 27-29",,1.0,0.0,0.0,,1.0,0.0,,IND,0.0,1.0,3.0,,,,,48.0,0.0,0.0,,,,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,12.0,,,,50.0,2024-09-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,*,55.0,2.0,,,51.8,29.0,GNB,,,2.0,"L, 10-16",,2.0,0.0,0.0,,0.0,0.0,,IND,4.0,2.0,8.6,,16.0,,8.0,103.0,32.0,0.0,,,@,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,23.0,,,,50.0,2024-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,56.0,3.0,,,87.5,49.0,CHI,,,1.0,"W, 21-16",,3.0,0.0,0.0,,2.0,0.0,,IND,2.0,3.0,4.8,,25.0,,12.5,110.0,25.0,0.0,,,,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,21.0,,,,75.0,2024-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,57.0,4.0,,,72.7,48.0,PIT,,,3.0,"W, 27-24",,4.0,0.0,0.0,,1.0,0.0,,IND,4.0,4.0,4.2,,6.7,,5.0,88.0,20.0,0.0,,,,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,,,,,,2024-10-06,,,,,,,,Inactive,,5.0,,,,,JAX,,,,"L, 34-37",,4.0,,,,,,,IND,,5.0,,,,,,,,,,,@,tayljo02,2024,tayljo02_2024_gamelog.csv,True
,,,,,,2024-10-13,,,,,,,,Inactive,,6.0,,,,,TEN,,,,"W, 20-17",,4.0,,,,,,,IND,,6.0,,,,,,,,,,,@,tayljo02,2024,tayljo02_2024_gamelog.csv,True
,,,,,,2024-10-20,,,,,,,,Inactive,,7.0,,,,,MIA,,,,"W, 16-10",,4.0,,,,,,,IND,,7.0,,,,,,,,,,,,tayljo02,2024,tayljo02_2024_gamelog.csv,True
,20.0,,,,100.0,2024-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,58.0,8.0,,,81.3,52.0,HOU,,,1.0,"L, 20-23",,5.0,0.0,0.0,,1.0,0.0,,IND,1.0,8.0,5.3,,12.0,,12.0,105.0,12.0,0.0,,,@,tayljo02,2024,tayljo02_2024_gamelog.csv,False
